position_group,feature,estimate,ci_lower,ci_upper,sample_size,training_window,heuristic_version,model_version
OL,Vertical_missing,0.34080663912766074,-0.015036011304582807,0.7632560204138814,472,min-max,v1.0.0,v1.0.0
OL,Bench_missing,-0.19334519587733112,-0.31805884509163607,-0.06494775625272044,472,min-max,v1.0.0,v1.0.0
OL,Broad Jump_missing,-0.2155411386891588,-0.5614944850086027,0.08807903694868438,472,min-max,v1.0.0,v1.0.0
OL,3Cone_missing,-0.11514082856660579,-0.3840037735772114,0.15263103028337244,472,min-max,v1.0.0,v1.0.0
OL,Shuttle_missing,-0.13060361214748895,-0.4518145486157958,0.1370215839093498,472,min-max,v1.0.0,v1.0.0
OL,Ht_missing,0.0,0.0,0.0,472,min-max,v1.0.0,v1.0.0
OL,Wt_missing,0.0,0.0,0.0,472,min-max,v1.0.0,v1.0.0
OTHER,intercept,2.970553178797709,2.7726766509175693,3.227290335742696,79,min-max,v1.0.0,v1.0.0
OTHER,40yd_z,0.1400445350210335,-0.10433561363530357,0.37625376484897805,79,min-max,v1.0.0,v1.0.0
OTHER,Vertical_z,0.04405486124056254,-0.14533304861747803,0.26334684830398036,79,min-max,v1.0.0,v1.0.0
OTHER,Bench_z,-0.031377047122092515,-0.17532191416550508,0.2158784840446334,79,min-max,v1.0.0,v1.0.0
OTHER,Broad Jump_z,-0.22335298842896142,-0.4896779709198397,0.11771745383346269,79,min-max,v1.0.0,v1.0.0
OTHER,3Cone_z,0.13573468305070654,-0.07967338651445525,0.37963066826446057,79,min-max,v1.0.0,v1.0.0
OTHER,Shuttle_z,0.075297817711273,-0.15693060702125455,0.3298159518457738,79,min-max,v1.0.0,v1.0.0
OTHER,Ht_z,-0.18054079462895295,-0.44787521011435294,0.024142210342680416,79,min-max,v1.0.0,v1.0.0
OTHER,Wt_z,0.3052991307021486,0.015153310724533664,0.5983777633360453,79,min-max,v1.0.0,v1.0.0
OTHER,40yd_missing,-0.07623021340949625,-0.42275311114420594,0.2986826166551486,79,min-max,v1.0.0,v1.0.0
OTHER,Vertical_missing,0.3829894413523418,-0.15257694453115553,0.6117741051311703,79,min-max,v1.0.0,v1.0.0
OTHER,Bench_missing,0.04579338178030068,-0.2657972732737721,0.3571960152174489,79,min-max,v1.0.0,v1.0.0
OTHER,Broad Jump_missing,-0.528649186633754,-0.7572127957837906,-0.014936824369402702,79,min-max,v1.0.0,v1.0.0
OTHER,3Cone_missing,-0.12977213800349183,-0.40100748961915034,0.19498893111419663,79,min-max,v1.0.0,v1.0.0
OTHER,Shuttle_missing,-0.0571949571110602,-0.3219308221746278,0.22863877933002422,79,min-max,v1.0.0,v1.0.0
OTHER,Ht_missing,0.1443944186321463,-0.13304566426294506,0.3420391796854898,79,min-max,v1.0.0,v1.0.0
OTHER,Wt_missing,0.14439441863214483,-0.133045664262943,0.3420391796854909,79,min-max,v1.0.0,v1.0.0
QB,intercept,2.7594823084319273,2.094913788968926,3.606080168290995,228,min-max,v1.0.0,v1.0.0
QB,40yd_z,0.0076265732862697,-0.2042907379832492,0.2010165252548596,228,min-max,v1.0.0,v1.0.0
QB,Vertical_z,-0.20097958019583884,-0.44106401422655633,0.03330483495053401,228,min-max,v1.0.0,v1.0.0
QB,Bench_z,0.06188011274565586,-0.06892761097450126,0.29724036007692334,228,min-max,v1.0.0,v1.0.0
QB,Broad Jump_z,0.35876064870322955,0.10498671975227536,0.5722493514280019,228,min-max,v1.0.0,v1.0.0
QB,3Cone_z,-0.03614937118941085,-0.1951728282963774,0.16306435367899766,228,min-max,v1.0.0,v1.0.0
QB,Shuttle_z,0.10847677797228616,-0.0641162269046572,0.285901801669475,228,min-max,v1.0.0,v1.0.0
QB,Ht_z,-0.033634956892488965,-0.21856629652883575,0.17962797595892063,228,min-max,v1.0.0,v1.0.0
QB,Wt_z,0.09326502954788518,-0.07200374654889584,0.30080679146942135,228,min-max,v1.0.0,v1.0.0
QB,40yd_missing,-0.47873495664902865,-0.8678699605918314,-0.004201060059629609,228,min-max,v1.0.0,v1.0.0
QB,Vertical_missing,0.6750202584245484,-0.12801692505841067,1.1749012961904468,228,min-max,v1.0.0,v1.0.0
QB,Bench_missing,0.13557471683017752,-0.735805270795565,0.7227539046118736,228,min-max,v1.0.0,v1.0.0
QB,Broad Jump_missing,0.03855595686169533,-0.4999605252459201,0.7160406591908359,228,min-max,v1.0.0,v1.0.0
QB,3Cone_missing,-0.2393645561573976,-1.321179760574404,0.7672551028430871,228,min-max,v1.0.0,v1.0.0
QB,Shuttle_missing,-0.1813562634796071,-1.2534308345621317,0.8370084867593858,228,min-max,v1.0.0,v1.0.0
QB,Ht_missing,0.0,0.0,0.0,228,min-max,v1.0.0,v1.0.0
QB,Wt_missing,0.0,0.0,0.0,228,min-max,v1.0.0,v1.0.0
RB,intercept,3.4258591363930018,3.316859707452289,3.521817574268849,462,min-max,v1.0.0,v1.0.0
RB,40yd_z,0.12044377833161365,0.013444077900135114,0.24887038666947986,462,min-max,v1.0.0,v1.0.0
RB,Vertical_z,-0.015368474951166134,-0.12556799273564145,0.07913795774948201,462,min-max,v1.0.0,v1.0.0
RB,Bench_z,0.039319917516077836,-0.048321050778094086,0.10866771572544433,462,min-max,v1.0.0,v1.0.0
RB,Broad Jump_z,0.03260561747531719,-0.06776660381057027,0.15040846164339783,462,min-max,v1.0.0,v1.0.0
RB,3Cone_z,0.04521841949240794,-0.06993842156948513,0.1693684978704654,462,min-max,v1.0.0,v1.0.0
RB,Shuttle_z,-0.05769774318293071,-0.1455662465010624,0.035625662143304544,462,min-max,v1.0.0,v1.0.0
