position_group,metric,estimate,ci_low,ci_high
DB,3Cone,0.0630701834688715,0.0030701362111074,0.119106368481085
DB,40yd,0.0379755314967419,-0.0195575781121421,0.091910647243888
DB,Bench,0.0084339387663891,-0.0472412662689431,0.061099071859266
DB,Broad Jump,-0.0008553450755566,-0.0594221281397251,0.0635226551667809
DB,Ht,-0.032594852212797,-0.0902551889154677,0.0285302695187746
DB,Shuttle,0.0656232581743534,0.0120150278042166,0.1153041600614872
DB,Vertical,0.031542634942411,-0.0262968170602913,0.0975571840487157
DB,Wt,0.0863401278398134,0.0262315763506286,0.1544951907882699
EDGE,3Cone,0.0816785254831501,-0.0092407541248872,0.15887429366993
EDGE,40yd,0.1208166924434542,0.0101411333640845,0.2082972913055235
EDGE,Bench,-0.0471089510799388,-0.1193823062446035,0.0203330740112841
EDGE,Broad Jump,0.0215653743093064,-0.0444692626578099,0.098346903931288
EDGE,Ht,-0.0087253082287374,-0.0924594087450291,0.0677565819153932
EDGE,Shuttle,0.031918163437383,-0.0301546013770804,0.104456343873716
EDGE,Vertical,-0.0030928228074454,-0.0815858584132351,0.0638925283784036
EDGE,Wt,0.2174268721148835,0.1159874225255384,0.3081169907374567
IDL,3Cone,0.0416451752500519,-0.0436641985665849,0.130137854567955
IDL,40yd,0.0240330088932402,-0.0681964984105694,0.1194303667597635
IDL,Bench,0.0958282957024622,0.018253944968571,0.1737201343663921
IDL,Broad Jump,-0.0856607763932044,-0.1961671129252497,0.0419417373521939
IDL,Ht,0.0321181523402032,-0.051526108933127,0.1040173376711312
IDL,Shuttle,0.0163014780217755,-0.1004397869507472,0.1200439734464885
IDL,Vertical,0.0582228078168256,-0.0694789697408352,0.1709635650510821
IDL,Wt,0.0199206392368296,-0.0649221019384558,0.13010884570018
LB,3Cone,0.0117300147747131,-0.0748344307802116,0.1021120966326016
LB,40yd,0.1564426383004383,0.0468748517735489,0.2516681745855536
LB,Bench,0.0018126196020473,-0.0963490204658382,0.080036599263423
LB,Broad Jump,-0.1178130294191522,-0.2061430518802673,-0.0120142366769514
LB,Ht,-0.0163820202462201,-0.108597562955758,0.0591217095814881
LB,Shuttle,0.0445048664552876,-0.0483531921367393,0.1194343095481846
LB,Vertical,0.0234255812616286,-0.0669230571289425,0.1163778464710763
LB,Wt,0.0770431780799048,-0.0406110633678358,0.1896544211776729
OL,3Cone,0.0111056612871484,-0.0650260634303457,0.0871934159771807
OL,40yd,0.0614999641360194,-0.0085904488353718,0.1361343092625979
OL,Bench,0.0516755090116863,-0.0026586534743872,0.1183786210609648
OL,Broad Jump,-0.0530400632093963,-0.1243959146697847,0.0157511204150066
OL,Ht,0.0129372380014949,-0.04642930635474,0.0797583552561056
OL,Shuttle,0.0830044005285085,0.0177576231559387,0.1635056937326355
OL,Vertical,0.0830954028881769,0.0115569200322228,0.1445933477009497
OL,Wt,0.0146987563066952,-0.0410227258775391,0.0867207360408796
OTHER,3Cone,0.1357346830507065,-0.0796733865144552,0.3796306682644605
OTHER,40yd,0.1400445350210335,-0.1043356136353035,0.376253764848978
OTHER,Bench,-0.0313770471220925,-0.175321914165505,0.2158784840446334
OTHER,Broad Jump,-0.2233529884289614,-0.4896779709198397,0.1177174538334626
OTHER,Ht,-0.1805407946289529,-0.4478752101143529,0.0241422103426804
OTHER,Shuttle,0.075297817711273,-0.1569306070212545,0.3298159518457738
OTHER,Vertical,0.0440548612405625,-0.145333048617478,0.2633468483039803
