feature,estimate,conf.low,conf.high,abs_estimate
Vertical_z,0.0830954028881769,0.0115569200322228,0.1445933477009497,0.0830954028881769
Shuttle_z,0.0830044005285085,0.0177576231559387,0.1635056937326355,0.0830044005285085
40yd_z,0.0614999641360194,-0.0085904488353718,0.1361343092625979,0.0614999641360194
Broad Jump_z,-0.0530400632093963,-0.1243959146697847,0.0157511204150066,0.0530400632093963
Bench_z,0.0516755090116863,-0.0026586534743872,0.1183786210609648,0.0516755090116863
Wt_z,0.0146987563066952,-0.0410227258775391,0.0867207360408796,0.0146987563066952
Ht_z,0.0129372380014949,-0.04642930635474,0.0797583552561056,0.0129372380014949
3Cone_z,0.0111056612871484,-0.0650260634303457,0.0871934159771807,0.0111056612871484
