athlete_id,player_name,row_index,id_column,id_value,reason
2219,Doug Chapman,,NFL_id,2219,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2219/stats?region=us&lang=en&contentorigin=espn
2183,Ike Charlton,,NFL_id,2183,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2183/stats?region=us&lang=en&contentorigin=espn
2203,Kendrick Clancy,,NFL_id,2203,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2203/stats?region=us&lang=en&contentorigin=espn
2168,Travis Claridge,,NFL_id,2168,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2168/stats?region=us&lang=en&contentorigin=espn
2376,Danny Clark,,NFL_id,2376,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2376/stats?region=us&lang=en&contentorigin=espn
2175,Chad Clifton,,NFL_id,2175,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2175/stats?region=us&lang=en&contentorigin=espn
2201,Chris Cole,,NFL_id,2201,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2201/stats?region=us&lang=en&contentorigin=espn
2182,Cosey Coleman,,NFL_id,2182,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2182/stats?region=us&lang=en&contentorigin=espn
2209,Laveranues Coles,,NFL_id,2209,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2209/stats?region=us&lang=en&contentorigin=espn
2304,Chris Combs,,NFL_id,2304,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2304/stats?region=us&lang=en&contentorigin=espn
